#timestamp x y z qx qy qz qw id
1788320554.077739 -4.698143 -7.290154 0.304255 -0.009834 0.014518 -0.773416 0.633656 1
1788320574.971664 -4.698341 -7.291581 0.304739 -0.006623 0.018125 -0.794562 0.606877 34
1788320578.160666 -4.671994 -7.139383 0.300273 0.006599 0.025246 -0.784643 0.619398 40
1788320579.722708 -4.716680 -7.295283 0.307338 0.032489 0.015083 -0.774612 0.631422 43
1788320580.243172 -4.742525 -7.491601 0.302526 -0.013776 0.017750 -0.774012 0.632772 44
1788320580.764613 -4.792660 -7.740329 0.308933 -0.001580 0.014906 -0.770606 0.637135 45
1788320581.349644 -4.857975 -7.999248 0.303799 0.000991 0.017613 -0.801985 0.597084 46
1788320581.869700 -4.924306 -8.251277 0.307257 -0.000778 0.009839 -0.805711 0.592226 47
1788320582.390652 -5.002853 -8.512187 0.308983 -0.000244 0.008856 -0.803134 0.595732 48
1788320582.911178 -5.089550 -8.739945 0.306310 0.005201 0.023279 -0.847486 0.530281 49
1788320583.431742 -5.199927 -8.984567 0.309007 0.000748 0.023603 -0.822277 0.568598 50
1788320583.957161 -5.293177 -9.236405 0.312001 -0.001106 0.024916 -0.818343 0.574189 51
1788320584.478138 -5.403831 -9.522074 0.312495 0.007626 0.015676 -0.815763 0.578123 52
1788320584.998670 -5.511756 -9.826712 0.305593 0.006579 0.017406 -0.811378 0.584226 53
1788320585.519651 -5.598149 -10.123691 0.306673 -0.003061 0.006429 -0.807385 0.589982 54
1788320586.040148 -5.694635 -10.431169 0.310775 0.004342 0.005522 -0.804507 0.593902 55
1788320586.560689 -5.786629 -10.723216 0.309429 0.001198 0.008942 -0.800957 0.598654 56
1788320587.081645 -5.854173 -10.994687 0.304882 -0.005515 0.015286 -0.800902 0.598575 57
1788320587.602690 -5.926255 -11.243895 0.308659 -0.003850 0.016189 -0.797052 0.603681 58
1788320588.123646 -5.987251 -11.466164 0.300053 -0.001295 0.009135 -0.790907 0.611867 59
1788320588.644163 -6.031814 -11.669827 0.305636 -0.005398 -0.001546 -0.785490 0.618850 60
1788320593.461139 -6.041694 -11.789024 0.306270 0.001718 0.006805 -0.784730 0.619798 69
1788320596.585647 -6.157901 -11.928664 0.305570 0.022698 -0.003710 -0.797633 0.602705 75
1788320597.106713 -6.263160 -12.328376 0.311983 0.006948 0.008355 -0.794167 0.607602 76
1788320597.626179 -6.321588 -12.592933 0.304629 0.003315 0.018262 -0.793106 0.608801 77
1788320598.146651 -6.362490 -12.763945 0.307232 -0.001376 0.017136 -0.789683 0.613274 78
1788320598.669222 -6.437698 -13.041033 0.302486 0.004204 0.009502 -0.790303 0.612628 79
1788320599.188666 -6.509364 -13.314185 0.308127 0.005212 0.002838 -0.798037 0.602579 80
1788320599.709158 -6.600190 -13.600238 0.311848 0.007904 -0.002014 -0.806080 0.591750 81
1788320600.229717 -6.689516 -13.889031 0.309916 -0.001256 0.007408 -0.789900 0.613190 82
1788320600.816154 -6.774867 -14.234824 0.312049 0.000255 0.007031 -0.787580 0.616173 83
1788320601.336797 -6.847085 -14.575111 0.310135 -0.000899 0.015331 -0.783461 0.621251 84
1788320601.857661 -6.928502 -14.876254 0.308022 0.007724 0.015788 -0.811838 0.583619 85
1788320602.378180 -7.028704 -15.180733 0.307764 -0.006900 0.015869 -0.811541 0.584040 86
1788320602.898685 -7.136766 -15.503822 0.309102 -0.004265 0.017184 -0.808227 0.588604 87
1788320603.419227 -7.247937 -15.836823 0.311456 -0.001259 0.016357 -0.804672 0.593492 88
1788320603.940241 -7.326012 -16.146694 0.313076 0.001656 0.022129 -0.781383 0.623657 89
1788320604.460662 -7.391776 -16.460674 0.314782 0.000866 0.024342 -0.809338 0.586838 90
1788320604.982168 -7.484433 -16.757029 0.304755 0.007542 0.017011 -0.807212 0.589968 91
1788320605.502662 -7.585728 -17.075056 0.302972 -0.001274 0.007966 -0.802886 0.596078 92
1788320606.023211 -7.688919 -17.397387 0.306527 0.002892 0.002537 -0.798717 0.601695 93
1788320606.544167 -7.783225 -17.722612 0.309275 0.004175 0.002402 -0.795130 0.606420 94
1788320607.064670 -7.872549 -18.040018 0.311205 0.004424 0.003428 -0.791168 0.611573 95
1788320607.585263 -7.947877 -18.338511 0.309407 -0.001374 0.012975 -0.788493 0.614905 96
1788320608.106395 -8.021564 -18.652056 0.304588 -0.000410 0.022731 -0.788452 0.614676 97
1788320608.626453 -8.096198 -18.975409 0.308306 -0.004637 0.014656 -0.785857 0.618218 98
1788320609.147665 -8.173621 -19.318651 0.308841 -0.010492 0.012755 -0.783482 0.621195 99
1788320609.668193 -8.245416 -19.668989 0.311253 -0.010841 0.018280 -0.779542 0.625989 100
1788320610.188812 -8.311137 -19.988764 0.315061 0.000343 0.019853 -0.806307 0.591164 101
1788320610.710181 -8.400613 -20.287413 0.311670 0.004356 0.015200 -0.806196 0.591437 102
1788320611.230666 -8.496564 -20.560709 0.305197 0.007557 0.016625 -0.809596 0.586704 103
1788320611.751669 -8.577624 -20.837057 0.306526 0.007613 0.005379 -0.789545 0.613622 104
1788320612.272191 -8.650109 -21.100065 0.313621 0.005943 0.011192 -0.802467 0.596561 105
1788320612.857431 -8.713556 -21.357281 0.300651 -0.006645 0.017533 -0.801213 0.598086 106
1788320613.378711 -8.783980 -21.581865 0.308637 0.004235 0.013232 -0.797757 0.602818 107
1788320614.420176 -8.803377 -21.636538 0.286262 -0.018081 -0.011829 -0.790096 0.612602 109
1788320614.940711 -8.797443 -21.620291 0.300131 0.003241 0.009507 -0.793993 0.607844 110
