#timestamp x y z qx qy qz qw id
1788163407.909564 -9.334920 27.622898 0.309284 -0.027380 -0.012813 0.996120 -0.082651 1
1788163415.981039 -9.334250 27.612001 0.310737 -0.030171 -0.008862 0.998371 -0.047608 15
1788163418.259142 -9.717526 27.550608 0.309700 0.001120 -0.019922 0.999043 -0.038918 19
1788163418.780318 -10.066223 27.515421 0.312523 -0.001978 -0.013378 0.998979 -0.043109 20
1788163419.300067 -10.426458 27.487276 0.315428 -0.007259 -0.016917 0.999767 -0.011298 21
1788163419.821050 -10.798909 27.471954 0.314489 -0.011051 -0.009807 0.999759 -0.016227 22
1788163420.342058 -11.190614 27.457663 0.314058 -0.016736 -0.012560 0.999614 -0.018295 23
1788163420.862139 -11.591743 27.441525 0.313880 -0.010350 -0.010295 0.999569 -0.025456 24
1788163421.383049 -11.997284 27.420040 0.314809 -0.013644 -0.014378 0.999290 -0.032027 25
1788163421.969048 -12.412149 27.389492 0.310980 -0.007227 -0.012875 0.998408 -0.054443 26
1788163422.489593 -12.782409 27.345882 0.310568 -0.007548 -0.016140 0.999111 -0.038204 27
1788163423.010067 -13.151193 27.318935 0.312622 -0.007195 -0.016035 0.999318 -0.032482 28
1788163423.531057 -13.492966 27.304060 0.313751 -0.004399 -0.013644 0.999314 -0.034143 29
1788163424.051911 -13.879951 27.270683 0.313554 -0.015079 -0.010753 0.998889 -0.043329 30
1788163424.572657 -14.277349 27.238298 0.313889 -0.012792 -0.011927 0.998786 -0.046060 31
1788163425.093536 -14.669791 27.193129 0.314110 -0.016030 -0.015223 0.998415 -0.051759 32
1788163425.614426 -15.040854 27.152817 0.313496 -0.013462 -0.014794 0.998652 -0.047893 33
1788163426.135049 -15.357427 27.126652 0.305562 -0.009694 -0.003779 0.999291 -0.036186 34
1788163426.655934 -15.633229 27.107353 0.309357 -0.004708 0.003474 0.999401 -0.034098 35
1788163427.176554 -15.931349 27.085192 0.310451 -0.005125 -0.005563 0.999159 -0.040299 36
1788163427.697255 -16.263664 27.052444 0.305427 -0.006009 -0.016478 0.999055 -0.039758 37
1788163428.218054 -16.603363 27.020666 0.308144 0.000477 -0.014614 0.999154 -0.038444 38
1788163428.738613 -16.925295 27.003239 0.309941 -0.003969 -0.014597 0.999880 0.003209 39
1788163429.324602 -17.294230 26.998569 0.309957 -0.006738 -0.016668 0.999838 -0.000251 40
1788163429.845549 -17.633305 26.996950 0.311650 -0.006739 -0.016106 0.999827 -0.006385 41
1788163430.366081 -17.983953 26.987709 0.313279 -0.012677 -0.013367 0.999768 -0.011130 42
1788163430.887402 -18.337595 26.978512 0.310850 -0.015321 -0.010128 0.999656 -0.018721 43
1788163431.407535 -18.689770 26.954988 0.305730 -0.015735 -0.007213 0.999502 -0.026386 44
1788163431.928931 -19.028704 26.936626 0.305165 -0.010410 -0.002469 0.999629 -0.025043 45
1788163432.449051 -19.359743 26.912020 0.308862 0.002525 -0.001946 0.999693 -0.024586 46
1788163432.970084 -19.688570 26.897707 0.311316 -0.004014 0.000926 0.999711 -0.023669 47
1788163433.491055 -20.027761 26.885874 0.311830 -0.004291 0.001357 0.999525 -0.030503 48
1788163434.011560 -20.379002 26.862904 0.308686 -0.006658 -0.008763 0.999349 -0.034355 49
1788163434.532070 -20.721813 26.835861 0.307345 -0.007716 -0.008034 0.999263 -0.036742 50
1788163435.053430 -21.067587 26.819317 0.308164 -0.016958 0.000441 0.999126 -0.038195 51
1788163435.574064 -21.370783 26.797678 0.309278 -0.004509 -0.019798 0.999431 -0.026942 52
1788163436.094539 -21.699997 26.778965 0.313465 -0.010635 -0.015529 0.999585 -0.021806 53
1788163436.615579 -22.035610 26.764866 0.313366 -0.013047 -0.007006 0.999680 -0.020522 54
1788163437.136619 -22.342920 26.764162 0.304129 -0.013947 -0.003872 0.999813 -0.012794 55
1788163437.657052 -22.665598 26.755564 0.307998 -0.013658 -0.009345 0.999818 0.009531 56
1788163438.177723 -22.939466 26.779255 0.311590 -0.011805 0.005439 0.997976 0.062253 57
1788163438.698020 -23.255136 26.820412 0.309921 -0.003110 -0.000014 0.998481 0.055016 58
1788163439.219209 -23.594492 26.855446 0.309573 -0.009216 -0.006519 0.999555 0.027625 59
1788163439.739523 -23.923986 26.858284 0.305664 -0.008592 -0.011551 0.999722 0.018675 60
1788163440.260056 -24.253090 26.855974 0.309506 -0.000864 -0.013844 0.999807 -0.013889 61
1788163440.780572 -24.592293 26.839432 0.311743 -0.011198 -0.015057 0.999652 -0.018537 62
