trial_id,goal_id,straight_line_m,path_length_m,duration_s,final_goal_dist_m,success,spl,result_reason
full-goal-1-002,1,3.415,5.45,92.6,0.98,True,0.627,GOAL_DISTANCE_REACHED
full-goal-1-006,1,3.415,0.59,38.1,3.42,False,0.0,CONTROLLER_INHIBITED:MOTION_TIMEOUT
full-goal-1-007,1,3.415,4.41,60.0,0.97,True,0.774,GOAL_DISTANCE_REACHED
full-goal-2-001,2,5.381,13.99,362.1,1.54,False,0.0,TRIAL_TIME_LIMIT
full-goal-2-004,2,5.381,6.56,142.4,2.7,False,0.0,CONTROLLER_INHIBITED:SWEEP_CANCELLED
full-goal-2-006,2,5.381,20.35,366.3,2.82,False,0.0,TRIAL_TIME_LIMIT
full-goal-3-003,3,9.309,12.51,227.1,4.13,False,0.0,CONTROLLER_INHIBITED:NO_MOTION_PROGRESS
full-goal-3-006,3,9.309,15.53,208.5,2.06,False,0.0,CONTROLLER_INHIBITED:MOTION_TIMEOUT
full-goal-3-008,3,9.309,17.0,186.2,0.99,True,0.548,GOAL_DISTANCE_REACHED
full-goal-4-004,4,11.303,17.0,350.7,5.32,False,0.0,CONTROLLER_INHIBITED:MOTION_TIMEOUT
full-goal-4-006,4,11.303,0.01,9.4,11.3,False,0.0,CONTROLLER_INHIBITED:COMMAND_TRANSPORT_FAILED
full-goal-4-007,4,11.303,16.66,307.0,4.51,False,0.0,CONTROLLER_INHIBITED:MOTION_TIMEOUT
full-goal-4-009,4,11.303,22.88,308.1,0.91,True,0.494,GOAL_DISTANCE_REACHED
full-goal-5-004,5,8.989,12.15,215.1,3.84,False,0.0,CONTROLLER_INHIBITED:NO_MOTION_PROGRESS
full-goal-5-006,5,8.989,14.68,242.3,5.04,False,0.0,CONTROLLER_INHIBITED:NO_MOTION_PROGRESS
