time_s,x_m,y_m,dist_to_goal_m
0.09,0.0001,-0.0003,3.4151
0.092,0.0,-0.0003,3.4151
0.141,0.0,-0.0002,3.4151
0.154,0.0,-0.0004,3.4152
0.183,-0.0,-0.0002,3.4151
0.22,-0.0001,-0.0004,3.4152
0.253,-0.0,-0.0004,3.4152
0.291,0.0,-0.0003,3.4151
0.33,0.0,-0.0003,3.4151
0.364,0.0,-0.0003,3.4151
0.382,0.0,-0.0003,3.4151
0.425,-0.0,-0.0004,3.4152
0.456,0.0,-0.0003,3.4151
0.475,0.0,-0.0004,3.4152
0.513,0.0001,-0.0002,3.415
0.536,0.0001,-0.0003,3.4151
0.577,0.0001,-0.0003,3.4151
0.602,0.0001,-0.0003,3.4151
0.638,0.0001,-0.0004,3.4151
0.685,0.0001,-0.0004,3.4151
0.692,0.0,-0.0003,3.4151
0.739,0.0,-0.0003,3.4151
0.757,0.0,-0.0003,3.4151
0.784,0.0001,-0.0003,3.4151
0.831,0.0001,-0.0003,3.4151
0.85,0.0001,-0.0004,3.4151
0.885,0.0001,-0.0004,3.4151
0.897,0.0,-0.0004,3.4152
0.945,-0.0,-0.0003,3.4152
0.962,0.0,-0.0004,3.4152
0.993,-0.0,-0.0003,3.4151
1.03,-0.0,-0.0003,3.4152
1.075,0.0,-0.0004,3.4152
1.105,0.0,-0.0004,3.4152
1.157,0.0,-0.0004,3.4152
1.2,0.0,-0.0004,3.4152
1.25,-0.0,-0.0003,3.4151
1.257,0.0,-0.0003,3.4151
1.316,-0.0,-0.0003,3.4151
1.352,0.0,-0.0004,3.4152
1.381,0.0,-0.0004,3.4152
1.411,-0.0,-0.0003,3.4152
1.44,-0.0,-0.0003,3.4152
1.478,-0.0,-0.0003,3.4152
1.508,-0.0,-0.0003,3.4152
1.532,-0.0,-0.0004,3.4152
1.578,-0.0001,-0.0004,3.4153
1.594,-0.0001,-0.0004,3.4153
1.61,-0.0001,-0.0003,3.4152
1.649,-0.0001,-0.0004,3.4152
1.687,-0.0,-0.0003,3.4152
1.714,0.0,-0.0003,3.4151
1.733,0.0,-0.0004,3.4152
1.768,-0.0,-0.0005,3.4153
1.811,0.0,-0.0005,3.4152
1.858,-0.0,-0.0005,3.4153
1.891,-0.0001,-0.0004,3.4152
1.894,-0.0,-0.0003,3.4152
1.94,-0.0,-0.0003,3.4152
1.96,-0.0001,-0.0004,3.4153
2.005,-0.0001,-0.0004,3.4153
2.044,-0.0001,-0.0005,3.4153
2.072,-0.0001,-0.0005,3.4153
2.099,-0.0001,-0.0004,3.4152
2.157,-0.0001,-0.0004,3.4152
2.183,0.0,-0.0004,3.4152
2.223,0.0,-0.0004,3.4152
2.256,-0.0001,-0.0005,3.4153
2.281,-0.0,-0.0005,3.4153
2.317,-0.0002,-0.0004,3.4153
2.35,-0.0001,-0.0004,3.4153
2.427,-0.0001,-0.0004,3.4152
2.448,-0.0001,-0.0003,3.4152
2.496,-0.0,-0.0005,3.4153
2.505,-0.0,-0.0005,3.4153
2.547,-0.0001,-0.0004,3.4153
2.572,-0.0001,-0.0005,3.4153
2.608,-0.0,-0.0003,3.4152
2.629,-0.0,-0.0003,3.4152
2.645,0.0,-0.0004,3.4152
2.706,0.0,-0.0004,3.4152
2.75,0.0,-0.0005,3.4152
2.783,0.0,-0.0005,3.4152
2.82,-0.0,-0.0004,3.4152
2.864,-0.0,-0.0004,3.4152
2.902,0.0,-0.0004,3.4152
2.917,0.0,-0.0004,3.4152
2.963,-0.0,-0.0005,3.4153
2.982,-0.0,-0.0005,3.4153
3.01,-0.0001,-0.0004,3.4153
3.051,-0.0001,-0.0004,3.4153
3.083,-0.0,-0.0004,3.4152
3.113,-0.0001,-0.0004,3.4152
3.147,-0.0001,-0.0005,3.4153
3.167,-0.0001,-0.0005,3.4153
3.197,-0.0001,-0.0005,3.4153
3.257,-0.0001,-0.0003,3.4152
3.264,-0.0001,-0.0004,3.4153
3.323,-0.0001,-0.0003,3.4152
3.357,-0.0001,-0.0005,3.4153
3.367,-0.0001,-0.0005,3.4153
3.398,-0.0001,-0.0005,3.4153
3.436,-0.0002,-0.0004,3.4153
3.469,-0.0002,-0.0004,3.4154
3.507,-0.0001,-0.0003,3.4152
3.541,-0.0001,-0.0003,3.4152
3.572,0.0001,-0.0004,3.4151
3.612,0.0,-0.0004,3.4151
3.637,-0.0,-0.0004,3.4152
3.671,-0.0,-0.0004,3.4152
3.7,-0.0,-0.0003,3.4152
3.73,0.0,-0.0003,3.4151
3.742,-0.0,-0.0003,3.4152
3.781,0.0001,-0.0004,3.4151
3.818,0.0,-0.0003,3.4151
3.838,0.0001,-0.0005,3.4151
3.899,0.0001,-0.0005,3.4151
3.918,0.0001,-0.0004,3.4151
3.96,0.0001,-0.0004,3.4151
3.987,0.0001,-0.0003,3.4151
4.043,0.0001,-0.0003,3.4151
4.074,0.0002,-0.0005,3.4151
4.109,0.0002,-0.0005,3.4151
4.151,0.0001,-0.0004,3.4151
4.168,0.0001,-0.0004,3.4151
4.191,0.0001,-0.0003,3.4151
4.253,0.0001,-0.0003,3.4151
4.288,0.0001,-0.0005,3.4151
4.318,0.0001,-0.0004,3.4151
4.355,0.0001,-0.0005,3.4151
4.383,0.0001,-0.0005,3.4151
4.416,0.0001,-0.0004,3.4151
4.435,0.0001,-0.0004,3.4151
4.453,0.0001,-0.0004,3.4151
4.503,0.0001,-0.0005,3.4151
4.531,0.0001,-0.0004,3.4151
4.565,0.0001,-0.0005,3.4151
4.6,0.0001,-0.0005,3.4151
4.634,0.0001,-0.0004,3.4151
4.675,0.0001,-0.0005,3.4151
4.7,0.0001,-0.0005,3.4152
4.738,0.0001,-0.0005,3.4152
4.765,0.0001,-0.0006,3.4152
4.798,0.0001,-0.0006,3.4152
4.833,0.0001,-0.0006,3.4152
4.88,0.0001,-0.0006,3.4152
4.914,0.0,-0.0005,3.4152
4.942,0.0,-0.0005,3.4152
4.965,0.0001,-0.0006,3.4152
5.001,0.0001,-0.0006,3.4152
5.024,0.0,-0.0006,3.4153
5.048,-0.0,-0.0005,3.4153
5.065,0.0,-0.0006,3.4153
5.1,-0.0,-0.0005,3.4153
5.153,-0.0,-0.0005,3.4153
5.186,0.0,-0.0006,3.4152
5.217,0.0,-0.0005,3.4152
5.255,-0.0,-0.0007,3.4153
5.284,-0.0,-0.0007,3.4153
5.309,-0.0001,-0.0005,3.4154
5.357,-0.0001,-0.0005,3.4154
5.38,-0.0001,-0.0005,3.4153
5.388,-0.0,-0.0005,3.4153
5.427,-0.0001,-0.0005,3.4153
5.455,-0.0001,-0.0006,3.4153
5.5,-0.0,-0.0006,3.4153
5.532,-0.0001,-0.0005,3.4153
5.564,-0.0001,-0.0005,3.4153
5.601,-0.0001,-0.0004,3.4153
5.644,-0.0001,-0.0004,3.4153
5.685,-0.0,-0.0006,3.4153
5.719,-0.0,-0.0005,3.4153
5.755,-0.0001,-0.0006,3.4153
5.774,-0.0001,-0.0006,3.4153
5.8,-0.0001,-0.0004,3.4153
5.823,-0.0001,-0.0004,3.4153
5.853,-0.0001,-0.0004,3.4153
5.886,-0.0001,-0.0005,3.4153
5.914,-0.0001,-0.0004,3.4153
5.944,-0.0001,-0.0006,3.4154
5.982,-0.0001,-0.0006,3.4154
6.017,-0.0001,-0.0005,3.4154
6.065,-0.0001,-0.0005,3.4154
6.101,-0.0001,-0.0004,3.4153
6.12,-0.0001,-0.0004,3.4153
6.138,-0.0,-0.0005,3.4153
6.161,-0.0,-0.0006,3.4153
6.194,-0.0,-0.0005,3.4153
6.231,-0.0001,-0.0005,3.4153
6.28,-0.0,-0.0005,3.4153
6.285,-0.0001,-0.0004,3.4152
6.335,-0.0001,-0.0004,3.4152
6.362,-0.0,-0.0005,3.4152
6.406,-0.0,-0.0005,3.4152
6.442,0.0001,-0.0006,3.4152
6.473,0.0,-0.0006,3.4153
6.483,0.0001,-0.0006,3.4152
6.521,-0.0,-0.0004,3.4152
6.546,0.0,-0.0005,3.4152
6.585,-0.0,-0.0005,3.4153
6.61,-0.0001,-0.0005,3.4153
6.643,-0.0001,-0.0006,3.4154
6.685,-0.0,-0.0006,3.4153
6.729,-0.0001,-0.0006,3.4154
6.761,-0.0001,-0.0006,3.4154
6.797,-0.0001,-0.0005,3.4153
6.828,-0.0001,-0.0005,3.4153
6.838,-0.0001,-0.0005,3.4153
6.871,-0.0001,-0.0007,3.4154
6.902,-0.0001,-0.0006,3.4154
6.946,-0.0001,-0.0007,3.4154
6.982,-0.0001,-0.0007,3.4154
7.003,-0.0002,-0.0006,3.4155
7.049,-0.0002,-0.0006,3.4155
7.075,-0.0002,-0.0006,3.4154
7.107,-0.0002,-0.0006,3.4154
7.115,-0.0001,-0.0007,3.4154
7.143,-0.0001,-0.0007,3.4155
7.201,-0.0001,-0.0007,3.4155
7.212,-0.0002,-0.0006,3.4154
7.248,-0.0002,-0.0006,3.4154
7.294,-0.0001,-0.0005,3.4154
7.328,-0.0001,-0.0005,3.4154
7.332,-0.0001,-0.0006,3.4154
7.354,-0.0001,-0.0007,3.4155
7.385,-0.0001,-0.0007,3.4154
7.416,-0.0001,-0.0007,3.4154
7.461,-0.0001,-0.0007,3.4154
7.489,-0.0001,-0.0006,3.4154
7.53,-0.0001,-0.0006,3.4154
7.552,-0.0001,-0.0006,3.4154
7.574,-0.0001,-0.0007,3.4154
7.62,-0.0001,-0.0006,3.4154
7.65,-0.0001,-0.0007,3.4154
7.681,-0.0001,-0.0007,3.4154
7.719,-0.0001,-0.0006,3.4154
7.738,-0.0001,-0.0006,3.4154
7.771,-0.0001,-0.0006,3.4154
7.809,-0.0001,-0.0006,3.4154
7.835,-0.0001,-0.0008,3.4154
7.852,-0.0001,-0.0008,3.4155
7.88,-0.0001,-0.0008,3.4154
7.917,-0.0002,-0.0007,3.4155
7.954,-0.0002,-0.0008,3.4155
7.99,-0.0002,-0.0006,3.4154
8.038,-0.0002,-0.0006,3.4155
8.067,-0.0001,-0.0008,3.4155
8.098,-0.0001,-0.0007,3.4155
8.116,-0.0002,-0.0008,3.4155
8.157,-0.0002,-0.0008,3.4155
8.165,-0.0002,-0.0007,3.4155
8.193,-0.0001,-0.0006,3.4154
8.233,-0.0001,-0.0006,3.4154
8.247,-0.0001,-0.0007,3.4154
8.283,-0.0001,-0.0007,3.4154
8.313,-0.0001,-0.0008,3.4155
8.354,-0.0,-0.0008,3.4155
8.375,-0.0001,-0.0008,3.4155
8.402,-0.0001,-0.0007,3.4155
8.44,-0.0001,-0.0008,3.4155
8.461,-0.0014,-0.0034,3.4179
8.511,-0.0014,-0.0037,3.418
8.55,0.0002,-0.0026,3.4161
8.586,0.001,-0.002,3.4152
8.589,0.0002,-0.0025,3.4161
8.636,0.0018,-0.0015,3.4142
8.67,0.0011,-0.0019,3.4149
8.731,0.0021,-0.0013,3.4138
8.764,0.0033,-0.0009,3.4126
8.805,0.003,-0.001,3.4129
8.822,0.004,-0.0008,3.4119
8.858,0.0039,-0.0008,3.412
8.882,0.0051,-0.0,3.4106
8.903,0.0055,0.0002,3.4101
8.926,0.0049,-0.0002,3.4108
8.963,0.0055,0.0,3.4102
9.0,0.0054,0.0,3.4103
9.024,0.0061,0.0005,3.4094
9.077,0.0061,0.0005,3.4094
9.11,0.0068,0.0014,3.4084
9.13,0.0078,0.0029,3.4068
9.146,0.0069,0.0016,3.4082
9.183,0.0091,0.0052,3.4045
9.212,0.0084,0.0037,3.4059
9.227,0.0101,0.0078,3.4024
9.281,0.0098,0.0075,3.4028
9.294,0.0113,0.0102,3.4002
9.341,0.0113,0.0104,3.4
9.365,0.0124,0.0118,3.3985
9.387,0.0129,0.0125,3.3976
9.42,0.0126,0.0122,3.398
9.442,0.0136,0.0129,3.3968
9.485,0.0135,0.0128,3.3969
9.515,0.0128,0.0144,3.3967
9.567,0.0129,0.0145,3.3967
9.617,0.0127,0.0167,3.3958
9.637,0.0131,0.0154,3.3961
9.663,0.0125,0.0173,3.3956
9.702,0.0125,0.0173,3.3956
9.731,0.011,0.0179,3.3966
9.749,0.0107,0.0167,3.3975
9.771,0.0111,0.0176,3.3967
9.812,0.0103,0.0157,3.3983
9.855,0.0105,0.0162,3.3979
9.881,0.0098,0.0155,3.3989
9.926,0.01,0.0155,3.3987
