run,index,kind,category,command_id,target,progress,status,start_unix,end_unix,elapsed_s,observed_nonzero_command_s,observed_zero_command_s,unclassified_macro_s,mean_progress_per_macro_s,first_zero_command_elapsed_s,correction_restarts,command_near_0p5_s,translation_nonzero_ticks,translation_with_yaw_correction_ticks,measured_moving_twist_median_mps,measured_turn_rate_median_radps,matched_moving_twist_samples,command_receipt_to_start_s,terminal_to_result_receipt_s
original5/full-goal-1-002,0,rotate,observation_or_alignment_turn,rotate,0.5132413426448172,0.5211707972891866,OK,1789294627.4975667,1789294631.7244473,4.226880503999837,2.2134458660002565,2.013262279999708,0.00017235799987247447,0.12329915567662962,1.860159380999903,1,0.0,0,0,,0.2415832062548894,0,,
original5/full-goal-1-002,1,rotate,observation_or_alignment_turn,rotate,0.5235987755982988,0.5293818120271646,OK,1789294633.38717,1789294636.6566052,3.2694350740002847,2.2518552810001893,1.002129771,0.015450022000095487,0.16191843546213774,2.2673053030002848,0,0.0,0,0,,0.22814134332162533,0,,
original5/full-goal-1-002,2,rotate,observation_or_alignment_turn,rotate,-1.051904222370122,-1.013545556240826,OK,1789294637.358544,1789294643.9577606,6.599216356999932,5.205420416000379,1.350441717999729,0.04335422299982383,0.15358574433852834,5.248774639000203,0,0.0,0,0,,0.194943368434906,0,,
original5/full-goal-1-002,3,rotate,observation_or_alignment_turn,rotate,-0.031583544646550755,-0.011905410027144209,OK,1789294645.3743029,1789294646.1619089,0.7876059280001755,0.09829370000034032,0.6568208329999834,0.032491394999851764,0.015115947714326441,0.1307850950001921,0,0.0,0,0,,0.08465039910866984,0,,
original5/full-goal-1-002,4,rotate,observation_or_alignment_turn,rotate,0.4829175584982526,0.49113905704440064,OK,1789294647.3854985,1789294652.4561462,5.070647782999913,2.433610590000171,2.617380821000097,0.01965637199964476,0.09685923338848658,2.0178890189999947,1,0.0,0,0,,0.22157497704029083,0,,
original5/full-goal-1-002,5,translate,look_forward_10cm,pixnav-8255451ad8488d95bcfae533-step-0,0.10000000149011612,0.11248158159966447,OK,1789294659.614181,1789294660.5592299,0.9450488740003493,0.6563041409999641,0.25101738600005774,0.03772734700032743,0.11902197303673301,0.6940314880002916,0,0.0,13,6,0.13998463253139543,,13,0.0017039775848388672,0.1145172119140625
original5/full-goal-1-002,6,translate,look_forward_10cm,pixnav-be080734c2abfc4f564276ef-step-1,0.10000000149011612,0.11425941326477732,OK,1789294660.925988,1789294661.8582284,0.9322404760000609,0.6508892070000911,0.2539627969999856,0.027388471999984176,0.12256431275654014,0.6782776790000753,0,0.0,13,13,0.19200971882050347,,13,-0.0068340301513671875,0.043288469314575195
original5/full-goal-1-002,7,translate,forward,pixnav-d7c018a4165c3ea69cb20dad-step-2,0.25,0.25658862611188066,OK,1789294662.1758637,1789294663.6095974,1.4337336280000272,1.0599664259998463,0.3427740330002962,0.0309931689998848,0.1789653399354289,1.090959594999731,0,0.201786804999756,21,21,0.2984725021738151,,21,-0.02470231056213379,0.03521561622619629
original5/full-goal-1-002,8,translate,forward,pixnav-e2e26380a84443c181f6abba-step-3,0.25,0.2631978823193757,OK,1789294664.055142,1789294665.5095007,1.4543588309998086,1.0351482800001577,0.35548703599988585,0.06372351499976503,0.18097176343917723,1.0988717949999227,0,0.24958962500022608,21,21,0.2509858490652995,,21,-0.008030176162719727,0.025968313217163086
original5/full-goal-1-002,9,translate,look_forward_10cm,pixnav-7cede5344b90fc0aa853d3d0-step-0,0.10000000149011612,0.11283650182772274,OK,1789294665.9775057,1789294666.8596668,0.8821610340000916,0.5923132240000086,0.2556961029999911,0.03415170700009185,0.12790918832140463,0.6264649310001005,0,0.0,12,12,0.1639707654545198,,12,0.03450775146484375,0.10135412216186523
