t_s,utc,node,state,mode,healthy,error
0.05799461500009784,2026-09-13T10:41:31.944294+00:00,pixnav_runtime_node,WAITING_FIRST_VLM,EPISODE_RESET,True,
0.06600867599991034,2026-09-13T10:41:31.952323+00:00,vlm_node,WAITING_SYNC,WAITING_SYNC,True,
0.13734197799976755,2026-09-13T10:41:32.023649+00:00,go2_action_executor,ACTIVE,IDLE,True,
0.28178617799994754,2026-09-13T10:41:32.168105+00:00,rtab_pointgoal_adapter,READY,READY,True,
0.40952917799995703,2026-09-13T10:41:32.295840+00:00,go2_sensor_input,READY,FIXED_STARTUP_OFFSET,True,
0.7759884960000818,2026-09-13T10:41:32.662305+00:00,sweep_scheduler_node,ACTIVE,IDLE,True,
2.749683424000068,2026-09-13T10:41:34.635995+00:00,vlm_node,FROZEN_ROTATING,FROZEN_ROTATING,True,
3.1408558909997737,2026-09-13T10:41:35.027161+00:00,go2_action_executor,ACTIVE,MOVING,True,
5.58014853099985,2026-09-13T10:41:37.466457+00:00,vlm_node,WAITING_SYNC,WAITING_SWEEP_OBSERVATION,True,
5.632613552999828,2026-09-13T10:41:37.518921+00:00,go2_action_executor,ACTIVE,IDLE,True,
6.681177708999712,2026-09-13T10:41:38.567485+00:00,vlm_node,FROZEN_ROTATING,FROZEN_ROTATING,True,
7.148235310000018,2026-09-13T10:41:39.034545+00:00,go2_action_executor,ACTIVE,MOVING,True,
15.446139761999802,2026-09-13T10:41:47.332446+00:00,vlm_node,WAITING_SYNC,WAITING_SWEEP_OBSERVATION,True,
15.630016866999995,2026-09-13T10:41:47.516303+00:00,go2_action_executor,ACTIVE,IDLE,True,
16.676569115999882,2026-09-13T10:41:48.562833+00:00,vlm_node,FROZEN_ROTATING,FROZEN_ROTATING,True,
17.17495039000005,2026-09-13T10:41:49.061251+00:00,go2_action_executor,ACTIVE,MOVING,True,
20.555581321999853,2026-09-13T10:41:52.441884+00:00,vlm_node,WAITING_SYNC,WAITING_SWEEP_OBSERVATION,True,
20.651632092,2026-09-13T10:41:52.537932+00:00,go2_action_executor,ACTIVE,IDLE,True,
20.681479811999907,2026-09-13T10:41:52.567756+00:00,vlm_node,ACTIVE,OBSERVATION_READY,True,
20.908844774000045,2026-09-13T10:41:52.795156+00:00,vlm_node,ACTIVE,VLM_IN_FLIGHT,True,
