campaign,run,started,start_kst,navigation,goal,result_reason,odom_radius_reached,archive_success,paper_success,paper_spl,duration_s,final_goal_distance_m,minimum_goal_distance_m,odom_path_10hz_m,odom_path_5hz_m,odom_path_20hz_m,pose_samples,odom_samples,forward_speed_mps,turn_speed_radps,look_execution,max_duration_s,vlm_calls,vlm_errors,policy_outputs,raw_action_counts,policy_final_action,policy_stop_source,recording_integrity_passed,recording_issues,field_report_status,navigation_image,checkpoint_sha256,evaluation_map_sha256,metric_use,operator_intervention_reviewed,autonomous_path_usable,provisional_protocol_success,autonomous_path_use_status
original5,full-goal-1-002,True,2026-09-13T19:17:03.368909+09:00,full,1,GOAL_DISTANCE_REACHED,1,,,,90.14569582900003,0.999914824962616,0.999914824962616,3.53676244705628,3.449437927318478,3.578290248341475,2729,1596,,0.5,forward_0p1,360,38,0,19,"{""look_down"": 15, ""forward"": 4}",look_down,model,False,Full policy trace missing: sweep_scheduler_trace.jsonl,received,sha256:a92b920649fabdc2ba7b894f9e75a68454596cc997d70825d3214349a305cf14,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,descriptive_recording; field_or_physical_arrival_review_pending; shortest_path_reference_missing,,False,,field_context_unverified
original5,full-goal-1-006,True,2026-09-13T21:20:54.943468+09:00,full,1,CONTROLLER_INHIBITED:MOTION_TIMEOUT,0,0,,,33.82619630699992,3.418398857116699,3.3894121646881104,0.3192916895554329,0.2784738755584453,0.35531072080520576,1056,601,0.5,0.8,forward_0p2,360,1,0,0,{},,,True,,awaiting_field_report,sha256:ac3b0692c0a4de90e2ed940e7568effbab5ffb632fe8600a0fd5715603450e55,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,descriptive_recording; field_or_physical_arrival_review_pending; shortest_path_reference_missing,,False,,field_context_unverified
original5,full-goal-1-007,True,2026-09-13T21:37:07.994308+09:00,full,1,GOAL_DISTANCE_REACHED,1,,,,53.62440875900029,0.982985258102417,0.982985258102417,2.896694577463165,2.8410268646287875,2.933709451521857,1707,950,0.5,0.8,forward_0p2,360,26,0,11,"{""look_down"": 6, ""forward"": 5}",look_down,model,False,Full policy trace missing: sweep_scheduler_trace.jsonl,received_partial,sha256:21b6e54f2b21cc523229d1a1b8b6ccbc72e2c249b5fd6aed474b7c1ada1e388c,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,descriptive_recording; field_or_physical_arrival_review_pending; shortest_path_reference_missing,,False,,field_context_unverified
original5,full-goal-2-001,True,2026-09-13T19:25:12.182282+09:00,full,2,TRIAL_TIME_LIMIT,0,0,,,360.064728413,1.6213021278381348,1.5652724504470825,8.989897567517714,8.612175669959486,9.154300077581011,11008,6363,,0.5,forward_0p1,360,116,0,44,"{""look_down"": 25, ""left"": 5, ""forward"": 9, ""right"": 2, ""stop"": 3}",stop,model,True,,awaiting_field_report,sha256:a92b920649fabdc2ba7b894f9e75a68454596cc997d70825d3214349a305cf14,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,descriptive_recording; field_or_physical_arrival_review_pending; shortest_path_reference_missing,,False,,field_context_unverified
original5,full-goal-2-004,True,2026-09-13T20:45:28.069904+09:00,full,2,CONTROLLER_INHIBITED:SWEEP_CANCELLED,0,0,,,136.49519916700046,2.695281505584717,2.6550662517547607,4.34682902114661,4.1913286453067355,4.425760732924634,4168,2420,0.5,0.6,forward_0p2,360,51,0,19,"{""look_down"": 11, ""left"": 4, ""forward"": 2, ""right"": 2}",left,model,True,,received_partial,sha256:5a393b3092c0604954cf07b97a5376ab490343cddeb6c56312c4fe993a790654,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,descriptive_recording; field_or_physical_arrival_review_pending; shortest_path_reference_missing,,False,,field_context_unverified
original5,full-goal-2-006,True,2026-09-13T21:40:06.128014+09:00,full,2,TRIAL_TIME_LIMIT,0,0,,,360.0562267839996,2.8306527137756348,1.252510666847229,12.738643378838677,12.267286112724667,13.011324082589757,11487,6366,0.5,0.8,forward_0p2,360,121,0,45,"{""look_down"": 19, ""forward"": 16, ""right"": 3, ""left"": 2, ""stop"": 5}",stop,model,True,,received_partial,sha256:21b6e54f2b21cc523229d1a1b8b6ccbc72e2c249b5fd6aed474b7c1ada1e388c,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,descriptive_recording; field_or_physical_arrival_review_pending; shortest_path_reference_missing,,False,,field_context_unverified
original5,full-goal-2-007,False,,full,2,INCOMPLETE,,,,,,,,,,,0,0,0.5,0.8,forward_0p2,360,0,0,0,{},,,False,no recorded observation:image; missing: /home/unitree/s2e-vlm-async-framework-minimal/.local-data/recording-five-goals-20260913/episodes/full-goal-2-007/full5m/runtime/events.jsonl; missing: full5m/runtime/result.json; native topic empty: /s2e/robot/sensors/cloud; native topic empty: /s2e/robot/sensors/odom; native topic empty: /s2e/robot/sensors/imu,awaiting_field_report,sha256:21b6e54f2b21cc523229d1a1b8b6ccbc72e2c249b5fd6aed474b7c1ada1e388c,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,prestart_excluded_from_driving_denominator,,False,,field_context_unverified
original5,full-goal-3-003,True,2026-09-13T19:41:31.886267+09:00,full,3,CONTROLLER_INHIBITED:NO_MOTION_PROGRESS,0,0,,,224.69271815599996,4.145452976226807,4.103095531463623,8.11782538345623,7.886601645712554,8.229055033477865,6817,3970,,0.5,forward_0p1,360,110,0,42,"{""look_down"": 28, ""forward"": 11, ""left"": 3}",look_down,model,True,,received,sha256:a92b920649fabdc2ba7b894f9e75a68454596cc997d70825d3214349a305cf14,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,descriptive_recording; field_or_physical_arrival_review_pending; shortest_path_reference_missing,,False,,field_context_unverified
original5,full-goal-3-006,True,2026-09-13T20:49:40.744669+09:00,full,3,CONTROLLER_INHIBITED:MOTION_TIMEOUT,0,0,,,203.77986532900013,2.0738143920898438,2.034173011779785,10.148158031331967,9.871784730474712,10.298633853063658,6472,3603,0.5,0.6,forward_0p2,360,73,0,38,"{""look_down"": 21, ""left"": 3, ""forward"": 13, ""stop"": 1}",look_down,model,False,Full policy trace missing: sweep_scheduler_trace.jsonl,received_partial,sha256:5a393b3092c0604954cf07b97a5376ab490343cddeb6c56312c4fe993a790654,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,descriptive_recording; field_or_physical_arrival_review_pending; shortest_path_reference_missing,,False,,field_context_unverified
original5,full-goal-3-008,True,2026-09-13T21:48:06.694882+09:00,full,3,GOAL_DISTANCE_REACHED,1,,,,181.34979572500015,0.9719639420509338,0.9719639420509338,11.054509109903254,10.814364317056176,11.19346735745073,5572,3212,0.5,0.8,forward_0p2,360,94,0,45,"{""look_down"": 24, ""left"": 5, ""right"": 1, ""forward"": 15}",forward,model,False,Full policy trace missing: sweep_scheduler_trace.jsonl,received_partial,sha256:21b6e54f2b21cc523229d1a1b8b6ccbc72e2c249b5fd6aed474b7c1ada1e388c,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,descriptive_recording; field_or_physical_arrival_review_pending; shortest_path_reference_missing,,False,,field_context_unverified
