session_index_chronological,decision_id,decision_after_goal_s,outcome_after_goal_s_clock_aligned,input_goal_context_distance_m,input_supervisor_mode,input_loop_count,selected_candidate,candidate_goal_alignment,candidate_goal_bearing_error_deg,candidate_distance_m,policy_actions_chronological,raw_argmax_matches_effective,outcome_translation_m,outcome_progress,outcome_no_progress,outcome_supervisor_mode,terminal_reason,terminal_goal_consistent,terminal_refresh_goal_distance_m
1,f09b0be85493d3f924067110,36.32396626472473,43.14072799682617,5.362,goal_seek,0,px_v00_r2_c0,aligned,2.459,5.487508813909746,5 5 5 1,True,0.9173530906216465,True,False,goal_seek,ASYNC_PREFETCH_ACTION_BOUNDARY,True,
2,785d06239ad8ea0b1054c2ae,42.636523723602295,52.701674699783325,5.117,goal_seek,1,px_v00_r2_c2,aligned,2.976,5.098737195426177,5 5 3 3,True,0.4364662271700541,True,False,goal_seek,ASYNC_PREFETCH_ACTION_BOUNDARY,True,
3,25aa1624a3fd525ba04c037e,49.11455821990967,63.356401681900024,4.236,goal_seek,1,px_v00_r2_c2,aligned,1.895,4.255621218767221,5 5 1 1,True,0.9754756167682065,True,False,goal_seek,ASYNC_PREFETCH_ACTION_BOUNDARY,True,3.0657761096954346
4,00f83764175858f7a125e140,91.74913787841797,98.57775092124939,3.034,goal_seek,2,px_v03_r2_c2,aligned,8.549,3.0347383446566147,5 1 1 1,True,1.001294588556749,True,False,goal_seek,ASYNC_PREFETCH_ACTION_BOUNDARY,True,
5,cadd1abd6534fd5309171289,97.95244407653809,105.96154451370239,2.831,goal_seek,3,px_v00_r2_c2,aligned,12.173,2.819978091467561,5 5 2,True,0.43161979363802155,True,False,goal_seek,ASYNC_PREFETCH_ACTION_BOUNDARY,True,
6,5af0dd37f16e31f87a6c01d6,104.35477232933044,115.02512574195862,1.959,goal_seek,3,px_v00_r2_c2,near_goal,22.974,1.9528136810020047,5 1 1 1,True,1.0009689456732065,True,False,goal_seek,OBSERVATION_SWEEP_CHECKPOINT,,1.3240742683410645
7,d4e043e8fe1955234904e10c,139.2698519229889,149.04751586914062,1.336,goal_seek,3,px_v01_r2_c1,aligned,7.125,1.339882213884672,0,True,0.0,False,True,goal_seek,PIXNAV_POLICY_COMPLETED,,
8,a7055b5e54ec20cb7a314521,191.5393419265747,191.79391407966614,1.387,goal_seek,4,px_v03_r2_c0,near_goal,27.302,1.3878321336762907,0,True,0.0,False,True,escape_deadlock,PIXNAV_POLICY_COMPLETED,,
9,467710f176ba0ef3b62fe4b6,196.04423689842224,222.33366417884827,1.387,escape_deadlock,5,px_v04_r2_c0,away_from_goal,146.672,1.3912024666075016,5 5 1 1 1 1 5 1 1 1 0,True,2.456286628013667,True,False,goal_seek,PIXNAV_POLICY_COMPLETED,False,3.70735764503479
10,cb4f281d783a31049b94f99a,257.81922578811646,290.03146481513977,3.671,goal_seek,5,px_v00_r2_c0,aligned,0.015,3.6130332747448217,5 5 5 3,True,0.6189228667758843,True,False,goal_seek,ASYNC_PREFETCH_ACTION_BOUNDARY,True,
11,fa093b3368e50f44f5ddd5e4,286.3092017173767,299.4313631057739,3.583,goal_seek,5,px_v00_r2_c1,aligned,0.434,3.5952095584653736,5 5 2,True,0.405227023239414,True,False,goal_seek,ASYNC_PREFETCH_ACTION_BOUNDARY,True,
12,626a9d67c27f97c6bdc1ca48,297.7772617340088,303.41499519348145,2.995,goal_seek,6,px_v00_r2_c0,aligned,3.016,3.014837439787843,0,True,0.0,False,True,goal_seek,PIXNAV_POLICY_COMPLETED,,
13,e151558d5dd8764813845727,348.30184173583984,348.51878118515015,2.794,goal_seek,6,px_v03_r2_c0,aligned,1.637,2.816853872517266,0,True,0.0,False,True,escape_deadlock,PIXNAV_POLICY_COMPLETED,,
