campaign,run,goal,navigation,started,start_kst,result_reason,duration_s,final_goal_distance_m,minimum_goal_distance_m,odom_path_10hz_m,turn_speed_radps,look_execution,navigation_image,recording_integrity_passed,recording_issues,field_report_status
original5,full-goal-1-002,1,full,True,2026-09-13T19:17:03.368909+09:00,GOAL_DISTANCE_REACHED,90.14569582900003,0.999914824962616,0.999914824962616,3.53676244705628,0.5,forward_0p1,sha256:a92b920649fabdc2ba7b894f9e75a68454596cc997d70825d3214349a305cf14,False,Full policy trace missing: sweep_scheduler_trace.jsonl,received
original5,full-goal-1-006,1,full,True,2026-09-13T21:20:54.943468+09:00,CONTROLLER_INHIBITED:MOTION_TIMEOUT,33.82619630699992,3.418398857116699,3.3894121646881104,0.3192916895554329,0.8,forward_0p2,sha256:ac3b0692c0a4de90e2ed940e7568effbab5ffb632fe8600a0fd5715603450e55,True,,awaiting_field_report
original5,full-goal-1-007,1,full,True,2026-09-13T21:37:07.994308+09:00,GOAL_DISTANCE_REACHED,53.62440875900029,0.982985258102417,0.982985258102417,2.896694577463165,0.8,forward_0p2,sha256:21b6e54f2b21cc523229d1a1b8b6ccbc72e2c249b5fd6aed474b7c1ada1e388c,False,Full policy trace missing: sweep_scheduler_trace.jsonl,received_partial
original5,full-goal-2-001,2,full,True,2026-09-13T19:25:12.182282+09:00,TRIAL_TIME_LIMIT,360.064728413,1.6213021278381348,1.5652724504470825,8.989897567517714,0.5,forward_0p1,sha256:a92b920649fabdc2ba7b894f9e75a68454596cc997d70825d3214349a305cf14,True,,awaiting_field_report
original5,full-goal-2-004,2,full,True,2026-09-13T20:45:28.069904+09:00,CONTROLLER_INHIBITED:SWEEP_CANCELLED,136.49519916700046,2.695281505584717,2.6550662517547607,4.34682902114661,0.6,forward_0p2,sha256:5a393b3092c0604954cf07b97a5376ab490343cddeb6c56312c4fe993a790654,True,,received_partial
original5,full-goal-2-006,2,full,True,2026-09-13T21:40:06.128014+09:00,TRIAL_TIME_LIMIT,360.0562267839996,2.8306527137756348,1.252510666847229,12.738643378838677,0.8,forward_0p2,sha256:21b6e54f2b21cc523229d1a1b8b6ccbc72e2c249b5fd6aed474b7c1ada1e388c,True,,received_partial
original5,full-goal-2-007,2,full,False,,INCOMPLETE,,,,,0.8,forward_0p2,sha256:21b6e54f2b21cc523229d1a1b8b6ccbc72e2c249b5fd6aed474b7c1ada1e388c,False,no recorded observation:image; missing: /home/unitree/s2e-vlm-async-framework-minimal/.local-data/recording-five-goals-20260913/episodes/full-goal-2-007/full5m/runtime/events.jsonl; missing: full5m/runtime/result.json; native topic empty: /s2e/robot/sensors/cloud; native topic empty: /s2e/robot/sensors/odom; native topic empty: /s2e/robot/sensors/imu,awaiting_field_report
original5,full-goal-3-003,3,full,True,2026-09-13T19:41:31.886267+09:00,CONTROLLER_INHIBITED:NO_MOTION_PROGRESS,224.69271815599996,4.145452976226807,4.103095531463623,8.11782538345623,0.5,forward_0p1,sha256:a92b920649fabdc2ba7b894f9e75a68454596cc997d70825d3214349a305cf14,True,,received
original5,full-goal-3-006,3,full,True,2026-09-13T20:49:40.744669+09:00,CONTROLLER_INHIBITED:MOTION_TIMEOUT,203.77986532900013,2.0738143920898438,2.034173011779785,10.148158031331967,0.6,forward_0p2,sha256:5a393b3092c0604954cf07b97a5376ab490343cddeb6c56312c4fe993a790654,False,Full policy trace missing: sweep_scheduler_trace.jsonl,received_partial
original5,full-goal-3-008,3,full,True,2026-09-13T21:48:06.694882+09:00,GOAL_DISTANCE_REACHED,181.34979572500015,0.9719639420509338,0.9719639420509338,11.054509109903254,0.8,forward_0p2,sha256:21b6e54f2b21cc523229d1a1b8b6ccbc72e2c249b5fd6aed474b7c1ada1e388c,False,Full policy trace missing: sweep_scheduler_trace.jsonl,received_partial
