campaign,episode,result,navigation,timeout_s,total_bytes,native_bag,observation_images,observation_events,policy_inputs,policy_trace,body_events,camera_timing,runtime_events,other
recording-five-goals-20260913,direct_goal-goal-1-001,,direct_goal,,102408,0,0,0,0,0,0,0,0,102408
recording-five-goals-20260913,direct_goal-goal-2-001,,direct_goal,,102408,0,0,0,0,0,0,0,0,102408
recording-five-goals-20260913,direct_goal-goal-3-001,,direct_goal,,102408,0,0,0,0,0,0,0,0,102408
recording-five-goals-20260913,direct_goal-goal-4-001,,direct_goal,,102408,0,0,0,0,0,0,0,0,102408
recording-five-goals-20260913,direct_goal-goal-5-001,,direct_goal,,102408,0,0,0,0,0,0,0,0,102408
recording-five-goals-20260913,full-goal-1-001,,full,,2884826247,2728974164,147920010,291030,0,481,5366709,1329617,0,944236
recording-five-goals-20260913,full-goal-1-002,GOAL_DISTANCE_REACHED,full,,3213287224,3016499590,171421320,334392,9090264,2340026,6076626,1504742,4412167,1608097
recording-five-goals-20260913,full-goal-1-003,,full,,102014,0,0,0,0,0,0,0,0,102014
recording-five-goals-20260913,full-goal-1-004,,full,,102142,0,0,0,0,0,0,0,0,102142
recording-five-goals-20260913,full-goal-1-005,,full,,102150,0,0,0,0,0,0,0,0,102150
recording-five-goals-20260913,full-goal-1-006,CONTROLLER_INHIBITED:MOTION_TIMEOUT,full,,1178786897,1117268690,55988415,106939,0,48574,2099676,524591,1806182,943830
recording-five-goals-20260913,full-goal-1-007,GOAL_DISTANCE_REACHED,full,,1716674992,1617299020,84328230,164638,5524156,1517039,3074697,761320,2886630,1119262
recording-five-goals-20260913,full-goal-1-008,,full,,102195,0,0,0,0,0,0,0,0,102195
recording-five-goals-20260913,full-goal-2-001,TRIAL_TIME_LIMIT,full,,10220124343,9600629736,543986205,1086006,21835668,7429746,19120606,4742519,17220219,4073638
recording-five-goals-20260913,full-goal-2-002,,full,,102014,0,0,0,0,0,0,0,0,102014
recording-five-goals-20260913,full-goal-2-003,,full,,102142,0,0,0,0,0,0,0,0,102142
recording-five-goals-20260913,full-goal-2-004,CONTROLLER_INHIBITED:SWEEP_CANCELLED,full,,3714852332,3497035387,188010480,371384,9429876,3036825,6766867,1675929,6726564,1799020
recording-five-goals-20260913,full-goal-2-005,,full,,102187,0,0,0,0,0,0,0,0,102187
recording-five-goals-20260913,full-goal-2-006,TRIAL_TIME_LIMIT,full,,8706590586,8154214762,476938350,950632,23758764,8616988,16750928,4153470,17733332,3473360
recording-five-goals-20260913,full-goal-2-007,,full,,182088682,181478093,0,0,0,0,27890,5789,0,576910
recording-five-goals-20260913,full-goal-2-008,,full,,102195,0,0,0,0,0,0,0,0,102195
recording-five-goals-20260913,full-goal-3-001,,full,,2245662293,2129628263,109903185,213999,0,481,3984173,983552,0,948640
recording-five-goals-20260913,full-goal-3-002,,full,,3045119371,2886030429,151376085,296073,0,481,5417744,1331409,0,667150
recording-five-goals-20260913,full-goal-3-003,CONTROLLER_INHIBITED:NO_MOTION_PROGRESS,full,,6095425097,5722783550,316576470,630548,20938027,6866054,11234842,2784928,10795002,2815676
recording-five-goals-20260913,full-goal-3-004,,full,,102014,0,0,0,0,0,0,0,0,102014
recording-five-goals-20260913,full-goal-3-005,,full,,102142,0,0,0,0,0,0,0,0,102142
recording-five-goals-20260913,full-goal-3-006,CONTROLLER_INHIBITED:MOTION_TIMEOUT,full,,5144330184,4822121094,273721140,539472,18320175,5037503,9737259,2413777,10074555,2365209
recording-five-goals-20260913,full-goal-3-007,,full,,102187,0,0,0,0,0,0,0,0,102187
recording-five-goals-20260913,full-goal-3-008,GOAL_DISTANCE_REACHED,full,,4684075286,4386821421,246072540,486403,21923658,6668069,8794319,2186736,8923274,2198866
