iso_timestamp,elapsed_s,pose_index,x_m,y_m,z_m,yaw_deg,cmd_vx,cmd_wz,dist_to_goal_m,status
2026-09-01T13:00:23.598871,0.069,1,-17.9749,26.9487,0.2991,-179.73,0.300,-0.500,5.990,NAVIGATING
2026-09-01T13:00:23.699094,0.169,2,-17.9854,26.9497,0.3003,178.93,0.300,-0.500,6.001,NAVIGATING
2026-09-01T13:00:23.798971,0.269,3,-18.0061,26.9517,0.3004,176.58,0.300,-0.500,6.021,NAVIGATING
2026-09-01T13:00:23.898887,0.369,4,-18.0198,26.9970,0.2970,172.30,0.300,-0.500,6.032,NAVIGATING
2026-09-01T13:00:23.999028,0.469,5,-18.0330,27.0033,0.2950,169.72,0.300,-0.500,6.045,NAVIGATING
2026-09-01T13:00:24.098869,0.569,6,-18.0546,27.0123,0.2894,167.15,0.300,-0.500,6.066,NAVIGATING
2026-09-01T13:00:24.199085,0.669,7,-18.0758,27.0200,0.2939,165.05,0.300,-0.500,6.086,NAVIGATING
2026-09-01T13:00:24.299049,0.769,8,-18.0925,27.0272,0.2970,162.30,0.300,-0.500,6.103,NAVIGATING
2026-09-01T13:00:24.399119,0.869,9,-18.1160,27.0347,0.2964,159.49,0.300,-0.500,6.126,NAVIGATING
2026-09-01T13:00:24.498856,0.969,10,-18.1365,27.0416,0.2976,156.76,0.300,-0.500,6.146,NAVIGATING
2026-09-01T13:00:24.599273,1.069,11,-18.1590,27.0484,0.2974,154.21,0.300,-0.500,6.168,NAVIGATING
2026-09-01T13:00:24.699098,1.169,12,-18.1738,27.0555,0.2982,151.76,0.300,-0.500,6.182,NAVIGATING
2026-09-01T13:00:24.799221,1.269,13,-18.1905,27.0650,0.2942,148.91,0.300,-0.500,6.199,NAVIGATING
2026-09-01T13:00:24.899040,1.369,14,-18.2105,27.0777,0.2889,146.91,0.300,-0.500,6.218,NAVIGATING
2026-09-01T13:00:24.999130,1.469,15,-18.2257,27.0934,0.2898,144.85,0.300,-0.496,6.232,NAVIGATING
2026-09-01T13:00:25.099725,1.570,16,-18.2381,27.1094,0.2929,142.52,0.300,-0.489,6.244,NAVIGATING
2026-09-01T13:00:25.199370,1.669,17,-18.2444,27.1208,0.2950,139.94,0.300,-0.480,6.250,NAVIGATING
2026-09-01T13:00:25.299517,1.769,18,-18.2634,27.1368,0.2939,137.06,0.300,-0.471,6.268,NAVIGATING
2026-09-01T13:00:25.399037,1.869,19,-18.2810,27.1524,0.2936,134.40,0.300,-0.462,6.285,NAVIGATING
2026-09-01T13:00:25.498937,1.969,20,-18.2949,27.1655,0.2941,132.01,0.300,-0.454,6.299,NAVIGATING
2026-09-01T13:00:25.599463,2.069,21,-18.3074,27.1815,0.2911,129.30,0.300,-0.445,6.310,NAVIGATING
2026-09-01T13:00:25.699456,2.169,22,-18.3226,27.2016,0.2858,127.17,0.300,-0.438,6.325,NAVIGATING
2026-09-01T13:00:25.800079,2.269,23,-18.3324,27.2217,0.2842,125.58,0.300,-0.433,6.334,NAVIGATING
